Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-30 17:43:45,false,"Reading - Easy Run","6.44","361","00:46:35","155","173","174","186","7:14","6:07","45","49","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:04.70.5","7","0.0","00:46:34","00:46:35","34","79"
Running,2021-11-29 18:58:12,false,"Reading - Tired Run","4.03","218","00:26:44","156","180","174","190","6:38","5:49","4","4","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.61.3","7","0.0","00:26:11","00:27:08","38","46"
Running,2021-11-27 12:30:12,false,"Reading - Negative Split R","10.46","596","01:18:55","156","175","173","191","7:33","6:26","28","30","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:35.11.1","12","0.0","01:18:50","01:18:55","35","55"
Running,2021-11-25 18:12:49,false,"Reading - Cadence Drills","3.22","181","00:21:03","164","178","179","192","6:32","5:42","16","5","0.85","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:53.22.9","4","0.0","00:21:01","00:21:03","38","53"
Running,2021-11-23 17:57:22,false,"Reading - Easy Run","4.83","274","00:34:01","158","173","177","190","7:03","6:07","87","90","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:50.33.2","5","0.0","00:33:55","00:34:01","36","65"
Running,2021-11-22 18:28:10,false,"Reading - Tired Run","3.22","169","00:21:57","151","175","177","196","6:49","6:06","6","4","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:29.79.3","4","0.0","00:21:56","00:21:57","38","47"
Running,2021-11-20 12:39:45,false,"Reading - Negative Split R","9.66","520","01:13:05","149","186","175","187","7:34","5:56","25","29","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:34.40.8","11","0.0","01:13:00","01:13:05","30","50"
Running,2021-11-18 18:15:32,false,"Reading - Pace Run","3.22","177","00:20:55","162","187","177","192","6:30","5:22","4","3","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:39.56.9","4","0.0","00:20:54","00:20:55","38","46"
Running,2021-11-16 18:14:07,false,"Reading - Easy Run","4.83","268","00:33:34","157","183","176","190","6:57","6:02","137","142","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:50.11","5","0.0","00:33:28","00:33:34","-62","67"
Running,2021-11-15 18:11:18,false,"Reading - Tired Run","1.64","84","00:10:37","158","179","178","192","6:30","1:11","3","5","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.60","3","0.0","00:10:18","00:11:15","27","44"
Running,2021-11-13 11:42:26,false,"Reading - Negative Split R","6.44","372","00:46:01","163","181","176","188","7:09","5:25","14","18","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.22.5","8","0.0","00:45:45","00:46:01","34","44"
Running,2021-11-11 17:56:06,false,"Reading - Cadence Drills","3.22","165","00:23:00","144","162","176","188","7:09","6:38","--","4","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:22.29","4","0.0","00:22:59","00:23:00","38","44"
Running,2021-11-09 17:55:22,false,"Reading - Easy Run","4.83","269","00:35:05","158","169","173","186","7:16","6:12","1","6","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:50.42.9","5","0.0","00:34:29","00:35:05","31","45"
Running,2021-11-08 18:38:10,false,"Reading - Tired Run","3.22","180","00:22:08","162","179","176","188","6:52","5:56","7","40","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:21.17.6","4","0.0","00:22:02","00:22:08","38","80"
